lm_key,gearnet_layers,r,lora_dropout,early_stop_metric,train_layer,bias,patience,lr,gpu,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,train_bce,valid_bce,valid_mcc,epoch_count
facebook/esm2_t33_650M_UR50D,1,4,0,valid_mcc,33,all,5,0.001,1,0.5837,0.9873,0.9664,0.7148,0.6288,0.9302,0.0059,0.1526,0.6645,16
facebook/esm2_t33_650M_UR50D,3,8,0,valid_mcc,33,all,5,0.001,0,0.5598,0.9904,0.9681,0.7614,0.6371,0.9282,0.0049,0.1634,0.6729,17
facebook/esm2_t33_650M_UR50D,2,4,0,valid_mcc,33,all,5,0.001,1,0.5837,0.9866,0.9657,0.7038,0.6234,0.9331,0.0116,0.1471,0.6485,15
facebook/esm2_t33_650M_UR50D,3,4,0,valid_mcc,33,all,5,0.001,1,0.5885,0.9876,0.967,0.7221,0.635,0.9316,0.0195,0.1342,0.6457,11
facebook/esm2_t33_650M_UR50D,4,8,0,valid_mcc,33,all,5,0.001,0,0.5837,0.9894,0.9684,0.75,0.6457,0.9271,0.0057,0.175,0.6682,19
facebook/esm2_t33_650M_UR50D,4,4,0,valid_mcc,33,all,5,0.001,1,0.5662,0.9891,0.9672,0.7396,0.6306,0.9355,0.0018,0.2033,0.6737,22
facebook/esm2_t33_650M_UR50D,1,8,0,valid_mcc,5,all,5,0.001,0,0.4992,0.9935,0.9679,0.8067,0.6199,0.9224,0.0023,0.2206,0.6641,18
facebook/esm2_t33_650M_UR50D,1,4,0,valid_mcc,5,all,5,0.001,1,0.571,0.9897,0.968,0.7521,0.6393,0.9267,0.0017,0.206,0.6565,19
facebook/esm2_t33_650M_UR50D,2,4,0,valid_mcc,5,all,5,0.001,1,0.5391,0.9902,0.9668,0.7494,0.6193,0.9359,0.005,0.2094,0.6406,16
facebook/esm2_t33_650M_UR50D,2,8,0,valid_mcc,5,all,5,0.001,0,0.5327,0.9911,0.9674,0.7661,0.623,0.9222,0.0002,0.2376,0.6625,23
facebook/esm2_t33_650M_UR50D,3,4,0,valid_mcc,5,all,5,0.001,1,0.5646,0.9891,0.9671,0.739,0.6295,0.9295,0.0021,0.2327,0.6507,20
